"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"112","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.95438, 41.310161)
"113","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.957306, 41.325081)
"114","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.905917, 41.308487)
"115","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.907309, 41.313326)
"116","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.902127, 41.300989)
"117","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.896038, 41.301798)
"118","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.910758, 41.29701)
"119","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.925145, 41.282798)
"120","NEW HAVEN EAST SHORE STP","345 EAST SHORE PARKWAY","NEW HAVEN","CT",40,NA,"Connecticut",1,c(-72.916205, 41.295852)
"121","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,NA,NA,c(-72.079016, 41.516222)
"122","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,NA,NA,c(-72.079251, 41.517844)
"123","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.075179, 41.523839)
"124","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.062102, 41.527052)
"125","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.065697, 41.526506)
"126","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.060848, 41.527432)
"127","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.057544, 41.529925)
"128","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.056567, 41.530243)
"129","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.052428, 41.535217)
"130","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.051345, 41.534772)
"131","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.074444, 41.522647)
"132","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.077297, 41.515934)
"133","NORWICH WPCF","FALLS AVENUE","NORWICH","CT",8.5,NA,"Connecticut",1,c(-72.07612, 41.513525)
"134","WATERBURY WPCF","210 MUNICIPAL ROAD","WATERBURY","CT",27.05,NA,NA,NA,c(-73.046944, 41.519722)
"135","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.161416, 41.173024)
"136","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.174808, 41.177236)
"137","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.172082, 41.182693)
"138","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.171038, 41.186515)
"139","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.172792, 41.184119)
"140","BRIDGEPORT EAST SIDE WPCF","695 SEAVIEW AVENUE","BRIDGEPORT","CT",10,NA,"Connecticut",1,c(-73.176916, 41.17834)
"141","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.02, 38.830833)
"142","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.02, 38.848611)
"143","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.993332, 38.869167)
"144","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.991111, 38.871111)
"145","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.988609, 38.871113)
"146","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.004166, 38.872501)
"147","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.003891, 38.873055)
"148","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.004723, 38.872776)
"149","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.004723, 38.872776)
"150","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.002502, 38.872776)
"151","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.002502, 38.872776)
"152","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-76.999443, 38.873055)
"153","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-76.993889, 38.871666)
"154","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-76.991112, 38.872223)
"155","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.991112, 38.875278)
"156","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.982498, 38.877499)
"157","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.971947, 38.885277)
"158","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,"District of Columbia",1,c(-76.971111, 38.8833334)
"159","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.050835, 38.886112)
"160","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.053055, 38.888611)
"161","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.0575, 38.897778)
